date,prcp(mm/day),tmean(C),srad(W/m2),vp(Pa),GW(feet)
6/9/1984,0,18.005,437.14,1321.19,4.89
7/9/1984,0,16.335,472.79,1093.82,5
8/9/1984,0,17.955,456.5,1246.59,5.08
9/9/1984,0,20.91,401.36,1629.09,5.13
10/9/1984,1.54,21.98,322.83,1921.9,4.99
11/9/1984,1.81,22.91,246.84,2137,4.74
12/9/1984,7.08,24.555,206.47,2367.11,3.43
13/9/1984,7.61,24.7,191.51,2444.23,2.06
14/9/1984,67.35,23.905,159.68,2436.82,1.36
15/9/1984,15.38,23.335,243.69,2099.93,2
16/9/1984,0,18.39,437.05,1301.89,2.34
17/9/1984,0,14.485,427.46,1037.75,2.55
18/9/1984,0,15.165,415.41,1106.43,2.68
19/9/1984,0,15.38,430.28,1073.08,2.79
20/9/1984,0,17.235,447.35,1135.52,2.91
21/9/1984,0,20.075,433.47,1369.42,3.05
22/9/1984,0,21.4,405.34,1577.56,3.17
23/9/1984,0,20.34,411.37,1434.5,3.25
24/9/1984,0,21.685,391.72,1615.45,3.34
25/9/1984,0,22.975,370.5,1796.37,3.43
26/9/1984,0,23.8,357.41,1927.11,3.54
27/9/1984,0,20.425,407.48,1418.44,3.65
28/9/1984,1.92,13.48,222.72,1237.89,3.66
29/9/1984,6.43,12.01,145.61,1172.07,3.32
30/9/1984,5.48,14.835,185.5,1322.65,2.57
1/10/1984,9.86,16.765,198.14,1449.88,2.67
2/10/1984,0,12.065,356.23,936.24,2.81
3/10/1984,0,11.71,428.7,778.11,2.94
4/10/1984,0,15.275,424.59,947.39,3.09
5/10/1984,0,18.105,407.05,1196.38,3.22
6/10/1984,0,18.375,361.75,1354.57,3.32
7/10/1984,0,17.26,355.96,1285.82,3.41
8/10/1984,0,17.285,365.56,1256.59,3.5
9/10/1984,0,18.435,368.94,1318.63,3.6
10/10/1984,0,18.68,359.21,1352.12,3.7
11/10/1984,0,17.92,301.1,1427.56,3.79
12/10/1984,0,17.105,312.3,1335.11,3.87
13/10/1984,0,17.55,304.35,1375.89,3.94
14/10/1984,0,17.445,338.62,1270.53,4.03
15/10/1984,0,17.105,368.25,1129.64,4.15
16/10/1984,0,19.15,298.81,1484.17,4.23
17/10/1984,0,19.445,275.63,1590.2,4.29
18/10/1984,0,20.335,236.89,1773.3,4.32
19/10/1984,0,21.25,276.32,1760,4.37
20/10/1984,0,22.775,264.08,1959.57,4.44
21/10/1984,0,23.655,282.26,2000,4.52
22/10/1984,0,23.37,273.05,2000.21,4.58
23/10/1984,2.93,23.25,187.47,2113.14,4.64
24/10/1984,0,22.185,254.12,1917.64,4.7
25/10/1984,0,20.985,256.02,1784.2,4.74
26/10/1984,0,19.23,249.38,1626.77,4.76
27/10/1984,0,19.185,340.06,1309.24,4.81
28/10/1984,0,23.445,269.78,1988.3,4.86
29/10/1984,1.1,24.62,201.32,2320.02,4.87
30/10/1984,0,21.115,222.98,1870.66,4.88
31/10/1984,0,19.27,163.45,1807.12,4.94
1/11/1984,0,18.9,285.71,1430.74,4.97
2/11/1984,0,18.65,275.53,1440,5.01
3/11/1984,0,14.415,313.35,1005.98,5.11
4/11/1984,0.16,12.815,278.13,997.38,4.92
5/11/1984,2.79,15.395,183.19,1341.52,4.5
6/11/1984,2.27,11.805,208.88,1039.77,4.63
7/11/1984,0,6.55,305.67,608.95,4.77
8/11/1984,0,5.375,328.46,514.71,4.83
9/11/1984,0,7.15,339.69,533.35,4.86
10/11/1984,0,11.055,324.67,727.39,4.89
11/11/1984,2.12,13.93,264.35,1047.02,4.9
12/11/1984,0,11.085,291.6,811.12,5.03
13/11/1984,0,5.505,287.44,560.1,5.09
14/11/1984,0,6.58,303.76,567.49,5.17
15/11/1984,0,7.15,331.07,481.33,5.19
16/11/1984,0,12.45,276.65,906.18,5.19
17/11/1984,0,6.855,324.14,480,5.29
18/11/1984,0,5.42,315.8,440,5.26
19/11/1984,10.34,8.835,181.02,762.97,5.25
20/11/1984,8.95,4.24,144.49,602.39,5.34
21/11/1984,0,0.435,242.49,424.03,5.37
22/11/1984,0,1.79,236.13,460.58,5.38
23/11/1984,0,4.375,280.51,480.64,5.38
24/11/1984,0,5.25,298.47,453.77,5.41
25/11/1984,0,6.435,296.36,482.7,5.47
26/11/1984,0,8.02,292.74,556.42,5.5
27/11/1984,0,10.585,284.28,669.01,5.51
28/11/1984,6.29,13.615,236.04,916.71,5.39
29/11/1984,16.69,8.375,206.46,600,5.12
30/11/1984,0,5.36,267,481.53,5.23
1/12/1984,0,8.67,246.55,656.43,5.33
2/12/1984,0,6.795,271.53,520,5.38
3/12/1984,33,9.795,139.59,849.61,5.11
4/12/1984,0,6.08,221.94,595.01,5.15
5/12/1984,10.58,4.42,106.57,637.96,4.99
6/12/1984,13.24,4.555,87.64,683.13,4.56
7/12/1984,0,0.23,221.45,395.41,4.62
8/12/1984,0,1.305,228.44,416.68,4.62
9/12/1984,0,3.94,271.89,416.57,4.66
10/12/1984,0,6.195,267.82,488.57,4.66
11/12/1984,2,8.76,206.59,743.16,4.68
12/12/1984,0,6.7,241.42,568.38,4.69
13/12/1984,0,10.665,231.37,787.04,4.72
14/12/1984,0,12.77,245.18,835.32,4.78
15/12/1984,0,14.305,221.38,1019.16,4.78
16/12/1984,0,13.755,203.93,1043.14,4.78
17/12/1984,0,12.565,174.37,1049.04,4.76
18/12/1984,0,15.29,218.6,1120,4.78
19/12/1984,0,16.42,243.32,1085.77,4.82
20/12/1984,0,16.795,197.61,1296.82,4.86
21/12/1984,0.91,14.235,160.73,1212.52,4.86
22/12/1984,0.31,15.205,137.47,1347.79,4.88
23/12/1984,0.39,9.195,238.2,704.96,4.95
24/12/1984,0,6.675,248.35,565.81,4.95
25/12/1984,0,9.3,243.25,702.42,5.02
26/12/1984,0,5.645,268.92,477.63,5.09
27/12/1984,0,7.99,197.52,741.08,5.05
28/12/1984,0,12.55,242.4,885.8,5.06
29/12/1984,0,16.09,236.76,1133.32,5.08
30/12/1984,0,16.99,219.94,1274.57,5.13
31/12/1984,0,16.54,228.35,1203.95,5.16
1/1/1985,0,13.46,245.12,1009.81,5.16
2/1/1985,0,17.425,232.81,1347.63,5.19
3/1/1985,34.19,12.07,213.52,771.33,4.86
4/1/1985,28.4,3.34,78.72,664.19,3.25
5/1/1985,9.55,3.555,113.28,640,2.71
6/1/1985,0,2.33,270.88,440,2.87
7/1/1985,0,4.055,264.35,518.73,2.94
8/1/1985,0,4.43,241.49,560,3.07
9/1/1985,0,0.795,241.81,440,3.19
10/1/1985,0,-1.575,209.8,400,3.12
11/1/1985,5.18,-0.98,108.82,461.47,2.64
12/1/1985,0,-1.5,232.31,373.72,2.81
13/1/1985,0,0.24,234.94,440,2.94
14/1/1985,0,2.08,252.45,479.92,3.02
15/1/1985,0,1.775,239.72,480,3.17
16/1/1985,0,-2.73,260.9,320,3.27
17/1/1985,8.86,-1.7,176.34,392.52,3.14
18/1/1985,7.52,1.34,155.47,520,2.93
19/1/1985,0,3.97,267.36,560,3.03
20/1/1985,0,1.175,340.75,359.19,3.16
21/1/1985,0,-12.535,353.6,120,3.29
22/1/1985,0,-10.315,297.44,177.72,3.36
23/1/1985,0,-3.9,329.62,280,3.43
24/1/1985,0,1.1,311.26,435.42,3.49
25/1/1985,0,3.155,323.02,479.89,3.54
26/1/1985,0,1.08,345.99,364.9,3.66
27/1/1985,0,-1.265,337.71,320,3.69
28/1/1985,3.02,1.88,210.84,504.6,3.7
29/1/1985,3.87,-0.82,170.62,440,3.72
30/1/1985,0,0.53,282.21,440,3.71
31/1/1985,18.27,3.825,179.41,597.58,3.06
1/2/1985,33.58,7.265,188.99,735.78,2.51
2/2/1985,21.34,4,90.12,720,2.16
3/2/1985,0,0.66,205.24,514.32,2.28
4/2/1985,0,-0.58,242.59,440,2.48
5/2/1985,8.03,-0.57,154.35,465.79,2.29
6/2/1985,15.29,1.435,127.28,564.78,1.82
7/2/1985,0,2.38,254.2,560,2.19
8/2/1985,0,-1.44,337.39,360,2.34
9/2/1985,0,-2.495,312.53,355.58,2.5
10/2/1985,0,-0.145,369.82,349.18,2.59
11/2/1985,0,2.415,381.16,397.97,2.61
12/2/1985,31.19,5.68,257.13,586.27,2.08
13/2/1985,0,2.505,307.33,517.26,2.25
14/2/1985,0,2.91,334.65,490.71,2.43
15/2/1985,0,2.925,341.18,487.47,2.54
16/2/1985,0,0.89,381.79,360,2.67
17/2/1985,0,3.67,366.1,479.21,2.76
18/2/1985,0,3.935,389.9,440,2.84
19/2/1985,0,6.525,370.6,600,2.86
20/2/1985,4.36,7.135,257.52,658.7,2.72
21/2/1985,0,4,418.58,400,2.67
22/2/1985,0,10.135,403.39,670.59,2.77
23/2/1985,0,13.86,383.37,920,2.84
24/2/1985,0,17.655,364.75,1268.27,2.9
25/2/1985,0,18.635,318.71,1476.91,2.97
26/2/1985,21.83,12.785,236.78,1050.74,3
27/2/1985,0,11.505,295.4,994.35,3.06
28/2/1985,0,7.425,434.48,520.64,3.17
1/3/1985,0,5.345,414.12,511.66,3.16
2/3/1985,3.56,10.515,343.38,775.35,3.13
3/3/1985,0,9.6,411.43,677.91,3.24
4/3/1985,0,10.415,390.76,764.07,3.26
5/3/1985,0,16.55,307.25,1337.59,3.31
6/3/1985,0,11.365,455.16,600,3.46
7/3/1985,0,3.975,423.72,440,2.78
8/3/1985,0,10.905,417.44,713.65,2.77
9/3/1985,0,14.545,352.88,1066.72,2.68
10/3/1985,0,10.595,421.01,700.44,3.67
11/3/1985,0,9.46,426.75,633.98,3.73
12/3/1985,0.55,14.41,382.13,980.85,3.78
13/3/1985,0,13.18,423.17,818.81,3.9
14/3/1985,0,14.19,385.25,972.34,3.95
15/3/1985,0,11.265,374.4,822.49,4.05
16/3/1985,0,6.97,448.12,520,4.08
17/3/1985,2.74,10.16,297.94,783.36,4.04
18/3/1985,0,7.495,424.09,574.8,4.18
19/3/1985,0,3.085,433.38,416.32,4.26
20/3/1985,0,9.775,429.22,662.92,4.3
21/3/1985,0,12.735,396.19,896.27,4.36
22/3/1985,15.56,7.255,218.9,724.49,3.99
23/3/1985,13.01,7.51,157.69,823.91,3.65
24/3/1985,11.66,7.67,176.92,808.28,3.71
25/3/1985,4.02,7.42,234.14,796.7,3.82
26/3/1985,0,6.125,449.03,528.07,3.91
27/3/1985,0,12.295,453.89,796.84,3.95
28/3/1985,0,18.325,408.04,1299.87,4.02
29/3/1985,0,22.455,390.09,1717.22,4.1
30/3/1985,0,23.6,399.88,1788.82,4.19
31/3/1985,0,18.715,461.25,1186.79,4.21
1/4/1985,0,16.225,401.56,1172.55,4.29
2/4/1985,0,11.4,477.28,719.96,4.39
3/4/1985,0,8.88,499.72,562.44,4.44
4/4/1985,0,14.62,496.26,819.6,4.52
5/4/1985,0,20.255,424.52,1419.02,4.57
6/4/1985,0,19.9,362.77,1572.23,4.62
7/4/1985,0,15.2,435.24,1041.89,4.71
8/4/1985,1.73,11.625,462.99,786.77,4.77
9/4/1985,0,6.845,406.62,633.36,4.83
10/4/1985,0,3.625,485.66,435.38,4.89
11/4/1985,0,10.16,472.02,714.01,4.91
12/4/1985,0,14.84,481.73,920,4.97
13/4/1985,0,16.345,482.53,1025.12,4.99
14/4/1985,2.95,18.215,261.58,1458.63,4.94
15/4/1985,1.74,16.645,250.4,1473.19,4.93
16/4/1985,1.97,18.26,321.72,1515.04,4.94
17/4/1985,11.91,17.335,300.57,1320,4.71
18/4/1985,0,13.7,536.35,767.16,4.86
19/4/1985,0,20.6,485.29,1356.5,4.94
20/4/1985,0,23.21,490.37,1532.55,5.04
21/4/1985,0,23.145,511.73,1390.27,5.12
22/4/1985,0,23.525,498.56,1476.61,5.19
23/4/1985,0,23.535,493.79,1481.82,5.25
24/4/1985,0,23.065,456.4,1602.38,5.29
25/4/1985,0,22.505,394.14,1752.08,5.31
26/4/1985,0,19.7,496.2,1207.65,5.41
27/4/1985,0,22.48,460.31,1555.49,5.44
28/4/1985,0,22.335,398.4,1728.52,5.47
29/4/1985,0,19.2,429.48,1362.81,5.55
30/4/1985,0,15.25,508.07,907.57,5.61
1/5/1985,0,19.02,481.6,1208.64,5.63
2/5/1985,0,20.925,428.5,1506.73,5.67
3/5/1985,23.46,17.955,355.11,1176.42,5.65
4/5/1985,0,11.26,432.39,815.44,5.73
5/5/1985,0,15.405,477.05,937.67,5.81
6/5/1985,0,19.66,474.42,1196.08,5.86
7/5/1985,0,21.995,421.02,1541.06,5.94
8/5/1985,0,20.34,427.39,1340.02,6.03
9/5/1985,0,17.505,459.38,1048.76,6.06
10/5/1985,0,20.6,397.26,1466.97,6.09
11/5/1985,0,21.29,348.34,1712.49,6.14
12/5/1985,1.23,22.49,299.32,1937.25,6.19
13/5/1985,0.04,22.595,369.49,1772.22,6.24
14/5/1985,0,23.575,438.87,1408.87,6.32
15/5/1985,0,23.395,420.61,1461.98,6.37
16/5/1985,0,21.115,382.17,1434.87,6.39
17/5/1985,8.85,20.585,252.35,1715.71,6.4
18/5/1985,5.24,18.15,317.55,1337.13,6.49
19/5/1985,0,17.865,471.45,1001.36,6.61
20/5/1985,0,20.085,494.57,1050.55,6.68
21/5/1985,0,22.705,418.8,1516.03,6.68
22/5/1985,3.79,22.175,312.08,1651.46,6.61
23/5/1985,9.46,22.33,270.27,1890.18,6.69
24/5/1985,16.69,20.36,287.71,1642.72,6.72
25/5/1985,4.98,17.41,314.67,1327.33,6.76
26/5/1985,0,19.455,506.17,1122.38,6.9
27/5/1985,0,21.73,490.62,1325.11,6.98
28/5/1985,0,23.655,459.2,1506.33,7.03
29/5/1985,1,23.535,428.64,1627.32,7.06
30/5/1985,0,18.57,423.74,1269.4,7.1
31/5/1985,0,20.91,475.96,1265.96,7.13
1/6/1985,0,24.975,436.45,1723.07,7.18
2/6/1985,0,24.475,502.55,1386.21,7.27
3/6/1985,0,23.815,492.77,1383.11,7.33
4/6/1985,0,25.01,486.5,1494.95,7.37
5/6/1985,5.6,26.22,379.94,1979.29,7.39
6/6/1985,27.93,24.33,309.31,1995.86,6.95
7/6/1985,2.59,20.935,348.31,1774.09,7.05
8/6/1985,0,23.285,371.94,2007.9,7.16
9/6/1985,0.11,24.325,453.16,1763.53,7.32
10/6/1985,0,27.29,424.88,2200.91,7.44
11/6/1985,0,27.73,414.28,2298.42,7.49
12/6/1985,6.19,26.395,266.78,2483.72,7.52
13/6/1985,14.92,20.625,347.5,1553.67,7.55
14/6/1985,0,16.76,513.82,1046.99,7.64
15/6/1985,0,19.61,491.39,1292.32,7.68
16/6/1985,11,22.73,268.37,2019.27,7.6
17/6/1985,4.03,23.035,348.07,1958,7.67
18/6/1985,0.92,26.005,376.44,2315.72,7.72
19/6/1985,10.59,24.135,306.8,2080,7.71
20/6/1985,0,22.635,426.82,1839.95,7.62
21/6/1985,0,21.57,491.46,1467.02,7.75
22/6/1985,0,22.57,474.74,1574.14,7.8
23/6/1985,0,24.265,435.41,1849.57,7.84
24/6/1985,0,25.705,429.31,2003.23,7.88
25/6/1985,0,26.37,417.69,2136.64,7.92
26/6/1985,0,23.495,408.45,1885.3,7.94
27/6/1985,0,18.805,504.74,1159.02,8
28/6/1985,0,19.685,497.91,1236.62,8.03
29/6/1985,0,22.08,441.91,1614.59,8.05
30/6/1985,7.86,23.105,282.09,2033.55,7.75
1/7/1985,9.14,20.96,187.07,2034.37,6.71
2/7/1985,7.59,20.99,263.17,1853.07,6.65
3/7/1985,0,23.28,429.83,1889.76,6.9
4/7/1985,0,24.595,469.26,1849.39,7.09
5/7/1985,0,25.645,434.36,2116.37,7.18
6/7/1985,1.5,25.475,373.45,2308.08,6.22
7/7/1985,7.93,25.29,275.11,2340.78,5.62
8/7/1985,0,24.145,490.89,1724.56,5.87
9/7/1985,0,26.43,444.87,2172.44,6.08
10/7/1985,0.27,25.8,482.92,1886.69,6.26
11/7/1985,37.15,25.39,345.78,2080.69,5.1
12/7/1985,0,24.875,399.48,2200.01,4.94
13/7/1985,6.5,25.105,370.97,2152.15,5.16
14/7/1985,0,25.935,428.85,2251.16,5.36
15/7/1985,0,26.53,421.7,2330.5,5.51
16/7/1985,3.14,26.965,384.94,2479.75,5.66
17/7/1985,7.45,25.25,296.53,2287.63,5.8
18/7/1985,0,23.21,410.6,1972.65,5.97
19/7/1985,0,22.68,489.34,1676.58,6.14
20/7/1985,0,25.79,417.26,2268.19,6.26
21/7/1985,0,27.945,388.17,2640,6.4
22/7/1985,0,28.25,353.71,2800,6.49
23/7/1985,0,26,398.43,2340.07,6.64
24/7/1985,0,22.595,335.4,2094.03,6.05
25/7/1985,20.99,23.75,264.99,2199.49,5.28
26/7/1985,23.2,24.375,235.45,2360.31,5.54
27/7/1985,5.31,25.44,229.79,2547.88,5.74
28/7/1985,13.44,23.36,195.27,2348.32,5.79
29/7/1985,19.42,23.12,185.46,2347.88,5.92
30/7/1985,0.35,24.79,348.52,2374.96,6.03
31/7/1985,0,26.37,377.23,2518.67,6.11
1/8/1985,12.62,26.33,294.15,2573.85,3.81
2/8/1985,39.27,22.475,329.61,1877.6,3.63
3/8/1985,0,19.95,473.83,1542.73,3.81
4/8/1985,0,19.5,514.06,1378.36,3.99
5/8/1985,0,20.53,501.67,1485.17,4.14
6/8/1985,0,22.615,450.22,1830,4.3
7/8/1985,0,24.3,410.65,2139.44,4.24
8/8/1985,0,24.77,364.86,2316.19,3.35
9/8/1985,0,24.5,390.05,2249.35,3.34
10/8/1985,0.48,24.76,381.93,2279.54,3.5
11/8/1985,0,24.7,420.71,2185.22,3.69
12/8/1985,0,25.71,435.9,2265.97,3.88
13/8/1985,0,26.325,442.49,2299.49,4.08
14/8/1985,0,27.59,438.94,2455.95,4.24
15/8/1985,0,27.28,439.8,2405.16,4.37
16/8/1985,0,26.61,428.82,2355.64,4.46
17/8/1985,13.25,25.99,325.92,2274.95,4.47
18/8/1985,17.42,24.835,262.14,2366.88,3.75
19/8/1985,37.73,24.535,237.25,2410.54,2.91
20/8/1985,0,24.35,416.65,2139.14,3.12
21/8/1985,1.41,24.575,395.65,2182.98,3.17
22/8/1985,0,23.27,395.94,2077.36,3.02
23/8/1985,0,21.05,468.92,1616.2,3.25
24/8/1985,0,20.54,492.64,1463.94,3.43
25/8/1985,0,23.58,404.2,2053.52,3.47
26/8/1985,12.85,24.845,277.84,2287.06,3.58
27/8/1985,0,24.975,409.83,2170.22,3.69
28/8/1985,0,24.81,362.05,2289.07,3.8
29/8/1985,0,23.595,438.06,1892.91,3.92
30/8/1985,0,24.735,405.25,2124.88,4.01
31/8/1985,0,24.385,367.43,2190.62,4.16
1/9/1985,0,23.18,408.13,1913.68,4.33
2/9/1985,0,23.22,439.1,1804.74,4.44
3/9/1985,0,25.82,407.51,2228.95,4.54
4/9/1985,0,26.96,413.86,2314.07,4.66
5/9/1985,0,27.425,404.42,2405.09,4.77
6/9/1985,0,27.6,398.92,2439.1,4.88
7/9/1985,0,27.74,391.38,2477.5,5
8/9/1985,0,27.845,385.12,2504.06,5.11
9/9/1985,0,27.78,392.43,2445.84,5.2
10/9/1985,0,28.1,368.05,2589.24,5.28
11/9/1985,0,27.685,351.89,2590.57,5.38
12/9/1985,0,21.28,329.62,1860.36,5.51
13/9/1985,0,17.86,315.95,1545.36,5.67
14/9/1985,0,14.845,446.04,1048.51,5.78
15/9/1985,0,14.805,474.51,942.63,5.86
16/9/1985,0,16.36,475.06,1033.01,5.94
17/9/1985,0,16.84,475.52,1036.05,6.06
18/9/1985,0,18.315,451.83,1210.28,6.16
19/9/1985,0,19.08,447.56,1258.57,6.24
20/9/1985,0,20.495,422.36,1427.38,6.32
21/9/1985,0,21.725,402.23,1597.67,6.41
22/9/1985,4.69,21.605,310.21,1800.94,6.38
23/9/1985,13.47,20.73,192.12,1885.75,6.26
24/9/1985,0,21.475,339.91,1759.06,6.44
25/9/1985,0,22.28,324.72,1874.86,6.54
26/9/1985,15.8,19.255,213.79,1779.86,6.58
27/9/1985,143.25,20.94,192.3,1896.01,3.61
28/9/1985,0,18.47,396.09,1315.49,3.13
29/9/1985,0,16.025,420.8,1048.64,3.38
30/9/1985,0,17.645,402.28,1210.1,3.55
1/10/1985,0,19.16,389.32,1344.77,3.71
2/10/1985,0,21.825,327.41,1769.22,3.89
3/10/1985,29.67,21.27,215.09,1821.01,4.03
4/10/1985,17.78,19.895,149.36,1874,3.99
5/10/1985,0,20.375,229.13,1875.18,3.84
6/10/1985,0,14.835,394.53,998.59,4.02
7/10/1985,0,12.975,388.6,903.07,4.19
8/10/1985,0,14.725,403.67,935.14,4.32
9/10/1985,0,18.12,372.28,1269.8,4.38
10/10/1985,0,19.83,370.6,1382.29,4.45
11/10/1985,0,22.695,308.25,1858.22,4.47
12/10/1985,0,21.82,307.34,1761.5,4.59
13/10/1985,0,19.065,315.24,1452.68,4.67
14/10/1985,0,21.38,326.13,1629.43,4.73
15/10/1985,0,23.65,315.35,1892.7,4.78
16/10/1985,7.52,23.575,226.49,1924.64,4.72
17/10/1985,0,18.66,320.57,1400,4.82
18/10/1985,0,18.755,317.79,1411.69,4.92
19/10/1985,0,18.35,355.42,1257.84,4.96
20/10/1985,0,19.745,326.41,1448.25,5.01
21/10/1985,11.7,18.75,200.99,1547.18,4.75
22/10/1985,38,16.91,105.84,1644.69,4.36
23/10/1985,9.7,19.395,115.47,1884.64,4.33
24/10/1985,3.48,20.745,185.93,1890.56,4.31
25/10/1985,0,20.615,271.38,1723.64,4.36
26/10/1985,0,16.59,359.45,1037.55,4.47
27/10/1985,0,14.375,334.21,972.97,4.5
28/10/1985,0,16.345,277.25,1281.52,4.56
29/10/1985,0,11.84,291.23,925.25,4.65
30/10/1985,0,12.305,260.22,1014.84,4.63
31/10/1985,3.72,15.715,143.05,1409.88,4.49
1/11/1985,10.68,18.06,106.77,1751.73,4.45
2/11/1985,16.72,17.4,104.71,1691.45,4.39
3/11/1985,20.71,18,123.67,1701.29,4.38
4/11/1985,30.99,18.27,112.79,1753.84,3.83
5/11/1985,11.22,13.75,172.17,1191.1,3.56
6/11/1985,0,12.025,259.39,999.36,3.61
7/11/1985,0,14.01,323.02,943.21,3.67
8/11/1985,0,13.285,299.65,976.55,3.82
9/11/1985,0,10.74,342.12,682.41,3.87
10/11/1985,0,14.15,326.33,909.46,3.92
11/11/1985,0,18.405,284.91,1364.44,4
12/11/1985,0,18.54,263.92,1438.67,4.05
13/11/1985,1.26,18.935,203.45,1673.77,4.06
14/11/1985,0,19.45,244.52,1599.25,4.12
15/11/1985,0,19.37,236.97,1610.51,4.19
16/11/1985,0,16.335,239.57,1337.04,4.22
17/11/1985,0,16.035,196.24,1410.13,4.26
18/11/1985,0,16.99,278.78,1259.21,4.34
19/11/1985,0,17.815,281.11,1299.31,4.38
20/11/1985,0,19.485,252.35,1549.2,4.41
21/11/1985,62.07,16.275,201.82,1212.51,4.45
22/11/1985,35.32,10.72,134.17,1013.71,4.24
23/11/1985,5.49,8.775,153.74,850.09,3.41
24/11/1985,0,8.97,292.4,663.66,3.4
25/11/1985,0,12.735,264.15,947.75,3.46
26/11/1985,0,14.445,254,1107.81,3.48
27/11/1985,0,18.63,234.82,1486.05,3.54
28/11/1985,0,20.645,214.27,1758.64,3.61
29/11/1985,13.35,18.195,175.79,1434.79,3.66
30/11/1985,20.77,11.56,110.98,1125.97,2.75
1/12/1985,16.02,10.265,93.62,1064.12,2.23
2/12/1985,3.51,12.89,139.94,1159.25,2.4
3/12/1985,0,5.52,286.44,515.17,2.61
4/12/1985,0,2.2,244.04,469.46,2.69
5/12/1985,0,4.13,253.23,520.07,2.72
6/12/1985,0,5.25,231.15,600.18,2.76
7/12/1985,0,4.955,207.54,622.63,2.86
8/12/1985,0,5.935,251.88,600,2.9
9/12/1985,0,9.035,267.9,690.28,2.98
10/12/1985,0,9.85,281.59,654.63,3.03
11/12/1985,0,11.995,276.29,786.21,3.05
12/12/1985,1.6,15.54,207.53,1246.1,3.07
13/12/1985,12.15,13.91,165.92,1101.28,2.52
14/12/1985,1.71,6.165,194.94,641.65,2.36
15/12/1985,0,0.4,273.73,359.09,2.57
16/12/1985,0,3.245,253.18,477.35,2.66
17/12/1985,0,6.045,240.9,600,2.76
18/12/1985,0,5.71,216.04,638.63,2.86
19/12/1985,0,1.37,232.7,440,2.96
20/12/1985,0,-2.805,202.52,356.43,2.98
21/12/1985,0.08,-2.58,197.2,360,3.06
22/12/1985,0,-2.795,256.9,295.81,3.12
23/12/1985,0,3.105,252.89,469.27,3.15
24/12/1985,0,10.12,245.56,787.79,3.19
25/12/1985,0,7.29,276.39,558.46,3.25
26/12/1985,0,-4.2,250.3,279.8,3.38
27/12/1985,0,-1.245,244.67,351.42,3.42
28/12/1985,0,3.75,258.99,475.63,3.47
29/12/1985,0,4.245,267.05,475.51,3.5
30/12/1985,0,2.815,273.9,410.71,3.59
31/12/1985,0,3.67,272.61,439.63,3.59
1/1/1986,6.36,6.725,163.61,652.96,3.65
2/1/1986,0,4.095,284.35,434.33,3.68
3/1/1986,5.18,7.975,200.38,611.62,3.7
4/1/1986,0,7.78,263.41,615.1,3.76
5/1/1986,0,4.965,184.75,632.98,3.79
6/1/1986,0,4.325,237.3,536.41,3.89
7/1/1986,0,4.55,224.33,560.05,3.94
8/1/1986,0,-3.215,230.03,318.12,4.03
9/1/1986,0,-3.075,276.18,280,4.03
10/1/1986,0,2.86,267.64,442.83,4.05
11/1/1986,0,4.805,255.92,528.53,4.12
12/1/1986,0,4.6,284.81,470.44,4.13
13/1/1986,0,5.455,287.78,487.61,4.19
14/1/1986,0,0.205,255.18,392.06,4.25
15/1/1986,0,-2.34,230.39,343.77,4.34
16/1/1986,0,0.845,288.37,360,4.36
17/1/1986,0,6.895,303.02,520.06,4.37
18/1/1986,0,12.17,262.45,896.36,4.37
19/1/1986,4.36,14.5,156.76,1200.07,4.31
20/1/1986,1.74,9.515,228.08,773.77,4.4
21/1/1986,0,5.335,274.95,559.57,4.49
22/1/1986,0,8.515,308.11,600,4.51
23/1/1986,0,10.255,298.17,718.58,4.56
24/1/1986,0,2.195,245.03,480,4.59
25/1/1986,15.48,4.885,167.35,612.81,4.55
26/1/1986,27.28,4.815,137.39,651.78,3.84
27/1/1986,8.24,1.25,123.75,520,3.34
28/1/1986,0,-5.62,263.12,263.12,3.45
29/1/1986,0,-3.4,245.13,319.8,3.51
30/1/1986,0,-0.33,194.08,441.2,3.62
31/1/1986,0,0.215,273.98,400,3.68
1/2/1986,0,3.84,319.04,454.58,3.74
2/2/1986,0,9.625,314.05,708.37,3.75
3/2/1986,0,12.28,267.6,959.64,3.8
4/2/1986,0.27,9.215,235.39,841.46,3.82
5/2/1986,0,11.395,308.27,829.06,3.85
6/2/1986,0,12.905,294.46,946.21,3.89
7/2/1986,2.73,6.685,194.33,719.66,3.87
8/2/1986,0,4.7,180.31,681.66,3.93
9/2/1986,0,5.545,236.45,663.52,3.97
10/2/1986,0,5.84,244.5,680,3.98
11/2/1986,8.01,4.125,160,640,3.74
12/2/1986,0.5,-0.22,172.89,480,3.52
13/2/1986,0,-1.68,263.86,400,3.58
14/2/1986,0,-4.03,336.85,280,3.61
15/2/1986,6.46,0.635,209.32,460.08,3.63
16/2/1986,0,2.39,388.46,400,3.68
17/2/1986,0,9.93,369.11,736.15,3.7
18/2/1986,2.23,14.49,303.58,1064.95,3.69
19/2/1986,3.44,13.385,251.8,1022.62,3.73
20/2/1986,9.58,12.975,239.81,1039.06,3.71
21/2/1986,0,12.35,280.58,1079.9,3.69
22/2/1986,0,11.47,377.55,838.17,3.75
23/2/1986,2.04,6.955,320.62,716.86,3.79
24/2/1986,0,3.445,366.64,520,3.83
25/2/1986,2.98,3.725,249.28,560,3.91
26/2/1986,0,0.235,371.82,400,3.95
