date,prcp(mm/day),tmean(C),dayl(day),srad(W/m2),vp(Pa),flow(mm),GW(mm),GW(feet)
24/3/1984,15.04,20.42,0.504000116,250.39,1786.98,0.574924446,6.051829268,25.28
25/3/1984,0,23.205,0.504000116,389.47,2000,0.682722779,6.219512195,25.5
26/3/1984,0,23.025,0.504000116,406.29,1927.05,0.66475639,6.37195122,25.55
27/3/1984,0,23.575,0.508000116,426.38,1943.69,0.538991668,6.509146341,25.26
28/3/1984,0,25.76,0.508000116,334.27,2480,0.413226945,6.615853659,25.3
29/3/1984,0,22.12,0.508000116,418.09,1818.81,0.359327779,6.707317073,25.22
30/3/1984,0,16.685,0.512,487.77,1200,0.305428612,6.676829268,25.31
31/3/1984,0,17.08,0.512,473.49,1261.84,0.269495834,6.75304878,25.1
1/4/1984,0,17.235,0.512,492.87,1235.81,0.251529445,6.890243902,25.11
2/4/1984,0,18.195,0.512078472,507.21,1249.33,0.215596667,6.99695122,25.07
3/4/1984,0,21.82,0.516,384.71,1891.32,0.179663889,7.073170732,25.04
4/4/1984,14.88,22.77,0.516,219.48,2204.17,0.197630278,6.524390244,25.3
5/4/1984,1.59,19,0.516,430.35,1480,0.215596667,6.12804878,25.67
6/4/1984,0,16.95,0.520000116,489.75,1239.99,0.197630278,6.219512195,25.82
7/4/1984,0,17.365,0.520000116,527.45,1170.4,0.197630278,6.448170732,25.83
8/4/1984,0,18.78,0.520000116,512.1,1321.62,0.179663889,6.646341463,25.79
9/4/1984,7.51,20.905,0.521349884,307.55,1754.8,0.163494139,6.798780488,25.74
10/4/1984,6.91,22.75,0.524,249.21,2120,0.149121028,6.951219512,25.54
11/4/1984,0,20.8,0.524,432.78,1719.83,0.122171445,7.088414634,25.58
12/4/1984,0,20.54,0.524,463.72,1608.21,0.102408417,7.179878049,25.58
13/4/1984,7,23.795,0.528,272.68,2200,0.11318825,7.271341463,25.62
14/4/1984,8.99,23.52,0.528,322.44,2006.63,0.159900861,7.37804878,25.18
15/4/1984,6.14,21.505,0.528,311.87,1801.24,0.176070611,6.524390244,25.25
16/4/1984,0.42,19.025,0.528,416.05,1566.24,0.215596667,6.509146341,25.29
17/4/1984,0,17.51,0.532000116,467.72,1353.13,0.215596667,6.631097561,25.17
18/4/1984,0,17.395,0.532000116,528.12,1223.36,0.215596667,6.81402439,25.28
19/4/1984,0,17.5,0.532000116,552.24,1160,0.251529445,6.99695122,25.39
20/4/1984,0,21.035,0.535185532,489.4,1605.57,0.215596667,7.134146341,25.52
21/4/1984,0,21.775,0.535999884,516.25,1598.26,0.174273973,7.256097561,25.54
22/4/1984,0,24.91,0.535999884,408.41,2251.95,0.143731111,7.423780488,25.52
23/4/1984,4.3,25.56,0.535999884,309.36,2339.7,0.132951278,7.530487805,25.5
24/4/1984,0,22.485,0.54,435.76,1886.88,0.163494139,7.637195122,25.49
25/4/1984,0,18.965,0.54,560.02,1212.87,0.141934473,7.713414634,25.49
26/4/1984,0,22.5,0.54,481.64,1760,0.111391611,7.774390244,25.37
27/4/1984,0,22.665,0.54,491.03,1746.2,0.082645389,7.332317073,25.27
28/4/1984,0,23.18,0.544000116,499.99,1759.97,0.062882361,7.317073171,25.37
29/4/1984,0,23.7,0.544000116,477.86,1883.47,0.050305889,7.423780488,25.61
30/4/1984,0,24.32,0.544000116,453.65,2031.73,0.039526056,7.606707317,25.74
1/5/1984,0,25.005,0.544000116,445.4,2121.2,0.034136139,7.759146341,25.76
2/5/1984,0,25.705,0.547999884,410.95,2313.16,0.030542861,7.881097561,25.85
3/5/1984,0,25.25,0.547999884,457,2119.88,0.025152944,7.865853659,25.81
4/5/1984,0,27.08,0.547999884,405.55,2505.77,0.019763028,7.926829268,25.62
5/5/1984,0,27,0.547999884,409.96,2480,0.015810422,8.00304878,25.39
6/5/1984,0,27.26,0.549349769,422.54,2480.2,0.0323395,8.06402439,25.39
7/5/1984,0,27.01,0.552,413.83,2480,0.030542861,8.094512195,25.41
8/5/1984,0,26.21,0.552,422.39,2348.36,0.023356306,8.094512195,25.47
9/5/1984,5.7,24.555,0.552,266.79,2310.5,0.017966389,8.079268293,25.52
10/5/1984,0,20.73,0.552,412.33,1749.32,0.016349414,8.155487805,25.54
11/5/1984,0,21.55,0.556,470.86,1714.34,0.010779833,8.216463415,25.36
12/5/1984,0,22.505,0.556,454.96,1827.62,0.006288236,8.292682927,25.41
13/5/1984,0,22.91,0.556,463.07,1851.08,0.004132269,8.368902439,25.34
14/5/1984,0,24.25,0.556,462.32,2000,0.002515294,8.429878049,25.4
15/5/1984,0,25.665,0.556,468.05,2116.46,0.001437311,8.490853659,25.33
16/5/1984,0,25.825,0.56,381.36,2400,0.000538992,8.506097561,25.39
17/5/1984,0,23.3,0.56,388.98,2086.16,0,8.475609756,25.52
18/5/1984,0,21.595,0.56,395.91,1866.61,0,8.551829268,25.62
19/5/1984,0,21.325,0.56,475.33,1673.33,0,8.658536585,25.62
20/5/1984,0,23.05,0.56,453.84,1898.78,0,8.719512195,25.54
21/5/1984,0,25.08,0.561349769,410.3,2278.85,0,8.795731707,25.81
22/5/1984,0,26.065,0.563999884,376.73,2480,0,8.856707317,25.83
23/5/1984,28.71,26.235,0.563999884,268.93,2555.24,0,8.917682927,25.55
24/5/1984,26.8,25.5,0.563999884,304.11,2320,0,8.917682927,25.43
25/5/1984,21.86,24.155,0.563999884,312.52,2146.87,0.003952606,8.978658537,25.395
26/5/1984,17.48,24.25,0.563999884,257.94,2320,0.114984889,9.039634146,25.36
27/5/1984,16.68,24.77,0.563999884,281.62,2329.2,0.790521113,9.131097561,25.32
28/5/1984,11.16,24.25,0.567185417,237.79,2400,1.131882502,9.207317073,25.99
29/5/1984,24.09,24.25,0.568,213.02,2479.58,1.095949725,9.25304878,25.95
30/5/1984,2.48,24.355,0.568,260.58,2480,2.155966671,9.176829268,25.98
31/5/1984,0,22.315,0.568,395.57,2043.03,2.35359695,9.207317073,26.08
1/6/1984,0,19.87,0.568,514.94,1517.88,1.67087417,9.283536585,25.96
2/6/1984,0,21.305,0.568,515.46,1639.41,0.970185002,9.344512195,25.71
3/6/1984,0,23.05,0.568,526.51,1768.27,0.574924446,9.344512195,25.49
4/6/1984,0,24.14,0.568,509.32,1920,0.34136139,9.43597561,25.4
5/6/1984,0,24.76,0.568078356,490.87,2081.59,0.233563056,9.512195122,25.29
6/6/1984,0,25.12,0.571185532,449.96,2244.24,0.170680695,9.573170732,25.28
7/6/1984,0,25.615,0.572,399.35,2428.44,0.132951278,9.618902439,25.26
8/6/1984,0,26.135,0.572,363.76,2595.22,0.106001695,9.679878049,26.07
9/6/1984,0,25.49,0.572,417.11,2363.04,0.089831945,9.756097561,26.13
10/6/1984,0,26.095,0.572,427.42,2424.12,0.089831945,9.801829268,25.94
11/6/1984,0.01,25.95,0.572,429.4,2401.03,0.082645389,9.862804878,25.93
12/6/1984,0,25.1,0.572,434.73,2294.39,0.068272278,9.908536585,25.73
13/6/1984,0,25.74,0.572,448.74,2320,0.057492445,9.954268293,25.66
14/6/1984,11.32,25.985,0.572,316.47,2444.59,0.053899167,10.0304878,25.69
15/6/1984,0,25.49,0.572,414.3,2396.74,0.070068917,10.07621951,25.62
16/6/1984,15.08,25.785,0.572,223.27,2713.69,0.062882361,10.12195122,25.65
17/6/1984,7.07,24.965,0.572,235.72,2562.3,0.059289083,10.13719512,25.45
18/6/1984,0.97,25.51,0.572,382.68,2482.64,0.053899167,10.07621951,25.51
19/6/1984,0,26.005,0.572,447.81,2400,0.052102528,10,25.56
20/6/1984,0,27.315,0.572,453.9,2560,0.041322695,9.862804878,25.74
21/6/1984,0,27.75,0.572,447.12,2640,0.034136139,9.725609756,25.79
22/6/1984,6.59,27.5,0.572,326.73,2640,0.026949583,9.451219512,25.8
23/6/1984,9.2,26.695,0.572,297.63,2640,0.034136139,9.207317073,25.82
24/6/1984,8.27,27,0.572,288.14,2720,0.071865556,9.146341463,25.71
25/6/1984,6.98,27.565,0.572,304.87,2740.23,0.084442028,9.131097561,25.78
26/6/1984,9.35,27.39,0.572,303.21,2720,0.1616975,9.176829268,25.78
27/6/1984,5.9,27,0.572,328.11,2560,0.109594972,9.237804878,25.78
28/6/1984,11.71,26.655,0.572,332.97,2480,0.125764722,9.298780488,25.76
29/6/1984,0,27.07,0.572,400.23,2662.65,0.086238667,9.420731707,25.72
30/6/1984,10.83,27.25,0.572,312.22,2640,0.089831945,9.512195122,25.71
1/7/1984,5.76,27,0.572,324.78,2559.34,0.269495834,9.618902439,25.76
2/7/1984,21.41,26.52,0.572,309.32,2560,1.131882502,9.725609756,25.77
3/7/1984,6.49,26.5,0.572,311.24,2560,2.335630561,9.832317073,25.76
4/7/1984,22.98,25.635,0.572,341.77,2320,1.922403615,9.908536585,25.75
5/7/1984,5.53,25.75,0.569349653,327.99,2400.66,1.724773337,9.984756098,25.77
6/7/1984,0,26.57,0.568,416.16,2582.54,1.365445559,9.984756098,25.76
7/7/1984,0,26.625,0.568,426.64,2560,0.880353057,10,25.71
8/7/1984,0,27.25,0.568,428,2640,0.826453891,10.04573171,25.71
9/7/1984,0,27.235,0.568,451.95,2560,1.113916114,10.0152439,25.7
10/7/1984,0,27.505,0.568,438.07,2641.63,1.473243892,10.0152439,25.69
11/7/1984,12.67,27.415,0.568,326.08,2640,1.50917667,9.984756098,25.72
12/7/1984,0,27.17,0.568,446.33,2568.71,1.257647225,9.771341463,25.69
13/7/1984,0,27.37,0.568,433.3,2640,1.00611778,9.542682927,25.69
14/7/1984,1.34,26.865,0.565349769,406.13,2560.2,0.916285835,9.481707317,25.69
15/7/1984,14.09,26.55,0.563999884,293.72,2640,2.17393306,9.451219512,25.47
16/7/1984,2.05,26.1,0.563999884,393.31,2480,3.35971473,9.481707317,25.53
17/7/1984,5,27.185,0.563999884,319.72,2619.12,2.910555006,9.466463415,25.57
18/7/1984,0,27.72,0.563999884,420.08,2711.11,2.569193617,9.420731707,25.58
19/7/1984,10.3,27.11,0.563999884,353.31,2560,1.994269171,9.390243902,25.49
20/7/1984,15.99,26.745,0.563999884,318.88,2560,2.030201949,8.582317073,25.46
21/7/1984,14.77,26.205,0.56,302.93,2546.14,3.86277362,8.353658537,25.48
22/7/1984,12.19,25.525,0.56,314.48,2407.74,5.677378901,7.957317073,25.48
23/7/1984,11.22,25.75,0.56,303.31,2480,11.53442169,7.911585366,25.48
24/7/1984,3,26.665,0.56,280.5,2690.17,14.82227087,7.667682927,25.48
25/7/1984,6.06,27.235,0.56,279.02,2779.21,12.3249428,6.951219512,25.48
26/7/1984,4.4,26.75,0.55735,299.77,2640,9.270656687,6.234756098,25.52
27/7/1984,0,27.245,0.556,397.19,2720.73,7.258421127,6.234756098,25.47
28/7/1984,0,27.74,0.556,395.43,2800,7.635715294,6.234756098,25.47
29/7/1984,0,27.73,0.556,394.88,2800,6.072639458,6.234756098,25.45
30/7/1984,14.84,26.965,0.556,288.19,2720,4.743126677,6.234756098,25.73
31/7/1984,12.08,26.595,0.553349653,272.56,2720,4.006504731,6.234756098,25.75
1/8/1984,10.08,27.625,0.552,270.45,2879.5,3.916672786,6.234756098,25.7
2/8/1984,0,27.705,0.552,366.47,2880,3.988538342,6.234756098,25.69
3/8/1984,0,27.75,0.552,371.4,2880,3.233950007,6.234756098,25.68
4/8/1984,4,27.735,0.552,280.37,2875.63,2.802756673,6.234756098,25.67
5/8/1984,7.29,27.75,0.547999884,303.13,2800.41,2.299697783,6.234756098,25.66
6/8/1984,0,27.74,0.547999884,430.48,2721.78,1.922403615,6.234756098,25.65
7/8/1984,0,28,0.547999884,441.31,2719.83,1.778672504,6.234756098,25.64
8/8/1984,0,27.935,0.547999884,461.07,2640,1.760706115,6.234756098,25.63
9/8/1984,0,28.5,0.544000116,437.32,2800,1.868504449,6.75304878,25.62
10/8/1984,0,28.86,0.544000116,445.47,2816.71,1.545109448,6.783536585,25.61
11/8/1984,0,28.5,0.544000116,457.46,2720,1.239680836,6.875,25.6
12/8/1984,15.99,28,0.544000116,352.83,2720,0.916285835,6.25,25.59
13/8/1984,0,27.27,0.540078472,454.7,2560,0.84442028,5.335365854,25.58
14/8/1984,0,27.5,0.54,439.19,2640,0.898319446,5.320121951,25.57
15/8/1984,0,27.55,0.54,439.96,2640,0.808487502,4.207317073,25.56
16/8/1984,0,27.785,0.54,448.69,2640,0.754588335,3.795731707,25.55
17/8/1984,0,27.75,0.535999884,446.11,2640,0.682722779,3.780487805,25.54
18/8/1984,39.53,28.205,0.535999884,330.07,2720,0.970185002,3.932926829,25.53
19/8/1984,0,28,0.535999884,452.96,2640,3.772941675,4.481707317,25.52
20/8/1984,1.52,28,0.535999884,382.3,2720,4.617361955,4.832317073,25.51
21/8/1984,18.8,27,0.532000116,306.49,2640,3.395647507,5.137195122,25.5
22/8/1984,2.12,25.75,0.532000116,416.96,2400,2.874622229,5.381097561,25.49
23/8/1984,18.02,25.94,0.532000116,319.04,2460.24,2.479361672,4.832317073,25.48
24/8/1984,7.16,26.25,0.532000116,379.66,2480,2.048168338,4.984756098,25.47
25/8/1984,27.78,27.235,0.528,329.35,2555.05,1.940370004,4.25304878,25.46
26/8/1984,11.64,26.75,0.528,329.33,2480,4.437698065,4.375,25.43
27/8/1984,0,25.71,0.528,440.14,2324.52,4.347866121,4.740853659,25.39
28/8/1984,0,25.25,0.524078472,443.89,2280,3.054286118,4.87804878,25.38
29/8/1984,0,26,0.524,447.71,2320,2.066134727,5.213414634,25.35
30/8/1984,0,26.89,0.524,434.38,2479.83,1.437311114,5.396341463,25.27
31/8/1984,3.88,27.25,0.524,414.09,2480,1.042050558,5.56402439,25.23
1/9/1984,0,27.25,0.520000116,419.13,2560,0.826453891,5.74695122,25.2
2/9/1984,0,27.175,0.520000116,413.12,2560,0.754588335,5.914634146,25.42
3/9/1984,0,26.5,0.520000116,429.09,2400,0.646790001,6.006097561,25.44
4/9/1984,0,26.75,0.517349884,413.88,2480,0.574924446,6.021341463,25.44
5/9/1984,17.19,26.75,0.516,309.61,2480,0.521025279,5.990853659,25.43
6/9/1984,9.9,25.295,0.516,276.68,2400.59,0.538991668,5.899390244,25.54
7/9/1984,6,24.75,0.516,255.29,2399.91,0.682722779,5.899390244,25.7
8/9/1984,6.55,24.315,0.512,234.79,2400.41,0.808487502,5.960365854,25.72
9/9/1984,5.76,24.76,0.512,255.9,2402.5,0.862386669,6.143292683,25.7
10/9/1984,0,26.415,0.512,383.76,2532.79,0.790521113,6.31097561,25.69
11/9/1984,0,25.75,0.508000116,457.68,2200,0.682722779,5.609756098,25.56
12/9/1984,0,26.75,0.508000116,431.85,2400,0.574924446,5.609756098,25.56
13/9/1984,0,27.08,0.508000116,420.6,2479.74,0.574924446,5.777439024,25.55
14/9/1984,0,27.275,0.508000116,404.29,2560,0.485092501,5.655487805,25.54
15/9/1984,0,26.495,0.504000116,418.37,2394.34,0.359327779,5.670731707,25.54
16/9/1984,17.2,26.665,0.504000116,298.93,2481.03,0.359327779,5.945121951,25.5
17/9/1984,11.21,27.035,0.504000116,254.03,2720,0.736621946,5.518292683,25.48
18/9/1984,8.12,26.315,0.5,245.47,2647.71,1.024084169,5.137195122,25.46
19/9/1984,26.04,25.25,0.5,198.38,2640,1.275613614,4.893292683,25.48
20/9/1984,0.17,25.13,0.5,237.9,2682.27,1.652907781,4.786585366,25.49
21/9/1984,3.52,25.73,0.5,215.67,2674.1,1.437311114,4.969512195,25.47
22/9/1984,11.87,26.76,0.495999884,240.64,2803.19,1.060016947,5.365853659,25.46
23/9/1984,0,26.75,0.495999884,329.17,2720.07,0.790521113,5.655487805,25.44
24/9/1984,0,26.48,0.495999884,316.95,2713.52,0.592890835,5.838414634,25.39
25/9/1984,0,26.175,0.491999537,322.84,2656.09,0.467126112,5.960365854,25.38
26/9/1984,0,25.79,0.491999537,337.01,2565.02,0.377294167,6.097560976,25.38
27/9/1984,29.2,25.47,0.491999537,188.78,2720,0.50305889,6.204268293,25.39
28/9/1984,15.79,26.25,0.491999537,203.83,2800,1.221714447,6.341463415,25.4
29/9/1984,0,25.75,0.488000116,393.54,2400,2.245798616,6.448170732,25.37
30/9/1984,11.32,24.935,0.488000116,244.92,2480.2,2.335630561,5.777439024,25.34
1/10/1984,7.43,24.15,0.488000116,277.87,2303.68,1.922403615,5.716463415,25.33
2/10/1984,0,21.785,0.483999884,444.24,1776.79,1.527143059,5.670731707,25.32
3/10/1984,0,20.835,0.483999884,448.94,1667.44,1.185781669,5.716463415,25.32
4/10/1984,0,22.265,0.483999884,425.52,1882,0.934252224,5.777439024,25.3
5/10/1984,0,23.13,0.482650116,424.04,1961.48,0.718655557,6.021341463,25.28
6/10/1984,0,23.595,0.48,400.8,2095.54,0.538991668,6.25,25.26
7/10/1984,0,24.545,0.48,373.18,2286.9,0.467126112,6.463414634,25.25
8/10/1984,0,24.06,0.48,373.47,2213.46,0.413226945,6.600609756,25.24
9/10/1984,1.01,24.03,0.476,370.29,2209.73,0.359327779,6.75304878,25.27
10/10/1984,0,24.495,0.476,367.49,2279.08,0.323395001,6.554878049,25.28
11/10/1984,0,24.25,0.476,379.75,2200,0.269495834,4.679878049,25.25
12/10/1984,0.01,24.5,0.475921528,366.69,2280,0.251529445,4.573170732,25.25
13/10/1984,0,23.055,0.472,398,1991.79,0.215596667,3.826219512,25.23
14/10/1984,0,22.25,0.472,445.19,1720,0.197630278,3.780487805,25.21
15/10/1984,0,22.955,0.472,434.38,1793.11,0.167087417,3.932926829,25.18
16/10/1984,0,24,0.468,424.8,1920,0.149121028,4.49695122,25.16
17/10/1984,0,24,0.468,407.73,2000,0.132951278,4.954268293,25.15
18/10/1984,0,23.9,0.468,394.14,2037.49,0.122171445,5.259146341,25.18
19/10/1984,0,23.975,0.468,376.49,2093.42,0.111391611,5.472560976,25.18
20/10/1984,0,24.855,0.463999884,341.34,2296.98,0.104205056,5.640243902,25.14
21/10/1984,9.43,25.25,0.463999884,238.5,2400,0.118578167,4.542682927,25.11
22/10/1984,0,25.765,0.463999884,309.76,2491.14,0.1616975,4.588414634,25.08
23/10/1984,0,25.285,0.463999884,310.85,2410.79,0.197630278,4.908536585,25.07
24/10/1984,0,24.7,0.459999884,336.49,2263.7,0.179663889,4.801829268,25.06
25/10/1984,0,24.82,0.459999884,306.14,2341,0.1616975,4.817073171,25.45
26/10/1984,5,25.365,0.459999884,194.41,2560,0.150917667,5.228658537,25.46
27/10/1984,3.65,26.185,0.459921412,202.83,2640,0.14552775,5.487804878,25.3
28/10/1984,0,26.845,0.455999884,255.57,2772.5,0.143731111,5.640243902,25.3
29/10/1984,0,26.015,0.455999884,285.85,2554.38,0.131154639,5.823170732,25.2
30/10/1984,0,25.23,0.455999884,297.22,2393.96,0.120374806,5.945121951,25.26
31/10/1984,0,24.885,0.455999884,282.09,2388.38,0.107798334,6.036585366,25.25
1/11/1984,0,24.965,0.452,271.36,2434.38,0.098815139,6.112804878,25.28
2/11/1984,0.76,24.68,0.452,270.25,2398.54,0.102408417,5.929878049,25.24
3/11/1984,14.3,24,0.452,197.82,2319.95,0.150917667,6.006097561,25.36
4/11/1984,15.46,24.255,0.452,224.26,2280.54,0.215596667,6.234756098,25.99
5/11/1984,0,24.225,0.448,335.44,2120,0.197630278,6.387195122,25.96
6/11/1984,0,20.64,0.448,359.93,1640,0.165290778,6.478658537,25.83
7/11/1984,0,16.705,0.448,387.65,1231.43,0.136544556,6.554878049,25.74
8/11/1984,0,17.805,0.448,377.15,1329.08,0.118578167,6.631097561,25.71
9/11/1984,0,19,0.446650231,350.7,1480,0.104205056,6.768292683,25.7
10/11/1984,0,20.505,0.443999884,357.69,1600.85,0.0970185,6.844512195,26.66
11/11/1984,0,20.75,0.443999884,360.14,1600,0.091628584,6.951219512,26.29
12/11/1984,0,15.495,0.443999884,406.4,996.42,0.084442028,7.042682927,25.79
13/11/1984,0,13.115,0.443999884,394.45,917.1,0.079052111,7.103658537,25.81628571
14/11/1984,0,14.785,0.442650116,390.06,1005.39,0.073662195,7.164634146,25.84257143
15/11/1984,0,17.98,0.440000116,352.32,1356.93,0.070068917,7.195121951,25.86885714
16/11/1984,0,18.995,0.440000116,368.02,1366.52,0.068272278,7.301829268,25.89514286
17/11/1984,0,18.865,0.440000116,360.06,1377.43,0.066475639,7.408536585,25.92142857
18/11/1984,0,20.785,0.440000116,329.51,1639.76,0.064679,7.484756098,25.94771429
19/11/1984,0,22.17,0.440000116,328.89,1771.3,0.064679,7.515243902,25.974
20/11/1984,4.29,23.17,0.435999884,187.73,2193.82,0.070068917,7.118902439,26.00028571
21/11/1984,34.58,20.485,0.435999884,138.3,1995.93,0.086238667,7.088414634,26.02657143
22/11/1984,51.85,18.955,0.435999884,159.76,1759.43,0.287462223,7.179878049,26.05285714
23/11/1984,35.88,16.9,0.435999884,167.07,1536.26,1.922403615,7.362804878,26.07914286
24/11/1984,18.5,18.875,0.435999884,182.32,1694.06,2.982420562,7.515243902,26.10542857
25/11/1984,0,20.17,0.435999884,273.88,1747.38,2.748857506,7.637195122,26.13171429
26/11/1984,0,20.38,0.434650116,263.04,1780.83,2.120033894,7.545731707,26.158
27/11/1984,0,21.11,0.432,274.39,1816.41,1.50917667,6.692073171,26.18428571
28/11/1984,0,21.3,0.432,284.54,1797.03,1.00611778,6.661585366,26.21057143
29/11/1984,0,18.99,0.432,286.46,1579.27,0.736621946,6.75304878,26.23685714
30/11/1984,0,16.855,0.432,286.72,1376.62,0.592890835,6.93597561,26.26314286
1/12/1984,14.46,18.935,0.432,157.68,1749.73,0.610857224,7.118902439,26.28942857
2/12/1984,3,21.305,0.432,191.72,1887.44,0.772554724,7.332317073,26.31571429
3/12/1984,0,21.715,0.432,274.64,1868.93,0.84442028,7.469512195,26.342
4/12/1984,0,21.5,0.432,263.53,1880,0.772554724,7.469512195,26.36828571
5/12/1984,0,23.5,0.430650231,256.96,2120,0.646790001,7.606707317,26.39457143
6/12/1984,0,21.81,0.428000116,301.36,1769.86,0.556958057,7.713414634,26.42085714
7/12/1984,0,11.285,0.428000116,371.99,750.15,0.485092501,7.789634146,26.44714286
8/12/1984,0,10.59,0.428000116,355.15,774.57,0.431193334,7.865853659,26.47342857
9/12/1984,0,10.77,0.428000116,379.82,682.99,0.395260556,7.926829268,26.49971429
10/12/1984,0,12.95,0.428000116,366.07,829.52,0.359327779,8.00304878,26.526
11/12/1984,0,15.75,0.428000116,353.75,1040,0.323395001,8.048780488,26.55228571
12/12/1984,0,16.895,0.428000116,333.86,1205.71,0.305428612,8.109756098,26.57857143
13/12/1984,0,17.13,0.428000116,343.57,1180.74,0.287462223,8.155487805,26.60485714
14/12/1984,0,19.54,0.428000116,278.41,1600.47,0.269495834,8.18597561,26.63114286
15/12/1984,0,21.705,0.428000116,203.96,2064.24,0.269495834,8.170731707,26.65742857
16/12/1984,0,21.87,0.428000116,221.77,2038.58,0.251529445,7.804878049,26.68371429
17/12/1984,0.49,21.25,0.428000116,248.92,1880,0.251529445,5.716463415,26.71
18/12/1984,0,20.54,0.428000116,280.83,1726.02,0.251529445,4.801829268,26.71
19/12/1984,0,20,0.428000116,299.68,1600,0.233563056,4.786585366,26.51
20/12/1984,0,19.44,0.428000116,316.77,1462.33,0.233563056,4.847560976,26.49
21/12/1984,0,19.545,0.428000116,311.25,1480,0.233563056,5.137195122,26.09
22/12/1984,0,20.15,0.428000116,310.83,1550.56,0.215596667,5.381097561,25.8
23/12/1984,0,19.88,0.428000116,318.3,1462.95,0.197630278,5.594512195,25.55
24/12/1984,0,20.565,0.428000116,298.14,1610.23,0.197630278,5.68597561,25.52
25/12/1984,0,20.81,0.428000116,289.46,1658.67,0.179663889,5.823170732,25.45
26/12/1984,5.83,22.17,0.428000116,163.96,2055.2,0.215596667,5.106707317,25.46
27/12/1984,5.13,22.865,0.428000116,147.39,2204.07,0.305428612,5.182926829,25.46
28/12/1984,0,22.67,0.428000116,238.14,2062.8,0.287462223,5.472560976,25.44
29/12/1984,0,21.755,0.428000116,259.19,1880.46,0.269495834,5.625,25.44
30/12/1984,0,21.04,0.428000116,298.14,1658.8,0.233563056,5.762195122,25.42
31/12/1984,0,21.395,0.428000116,278.67,1769.63,0.215596667,5.884146341,25.39
1/1/1985,0,21.66,0.428000116,214,1905.24,0.197630278,5.975609756,25.38
2/1/1985,4,22.25,0.428000116,156.8,2000,0.197630278,6.067073171,25.48
3/1/1985,3.67,22,0.428000116,164.99,1920,0.179663889,6.158536585,25.52
4/1/1985,3.33,19.24,0.428814583,157.31,1669.02,0.215596667,6.234756098,25.47
5/1/1985,0,13.175,0.431921528,237.59,1098.56,0.215596667,6.31097561,25.45
6/1/1985,0,11.38,0.432,321.12,803.7,0.197630278,6.37195122,25.43
7/1/1985,0,11.275,0.432,361.86,715.32,0.179663889,6.432926829,25.38
8/1/1985,0,13.25,0.432,316.94,920.33,0.170680695,6.493902439,25.4
9/1/1985,0,12.46,0.432,349.5,802.15,0.1616975,6.539634146,25.41
10/1/1985,0,14.29,0.432,350.24,900.18,0.152714306,6.585365854,25.42
11/1/1985,0,16.87,0.432,340.59,1099.27,0.147324389,6.615853659,25.35
12/1/1985,0,14.385,0.432,317.44,1016.81,0.138341195,6.646341463,25.34
13/1/1985,0,9.955,0.432814352,290.72,800,0.131154639,6.722560976,25.35
14/1/1985,0,12.935,0.435999884,282.84,1000,0.125764722,6.722560976,25.38
15/1/1985,0,13.8,0.435999884,250.54,1136.64,0.120374806,6.798780488,25.22
16/1/1985,0,11.19,0.435999884,374.7,698.2,0.11318825,6.844512195,25.27
17/1/1985,0,16.53,0.435999884,345.61,1077.64,0.11318825,6.905487805,25.34
18/1/1985,2,18.25,0.435999884,287.9,1400,0.116781528,6.981707317,25.47
19/1/1985,3.03,14.715,0.435999884,224.32,1113.6,0.132951278,7.027439024,25.23
20/1/1985,0,13.505,0.438650231,373.93,806.37,0.129358,7.088414634,25.09
21/1/1985,0,7.205,0.440000116,417.78,434.13,0.118578167,6.93597561,25.15
22/1/1985,0,1.595,0.440000116,359.16,400,0.109594972,6.890243902,25.2
23/1/1985,0,4.67,0.440000116,384.8,440,0.11318825,6.951219512,25.23
24/1/1985,0,10.25,0.440000116,381.67,665.5,0.11318825,7.088414634,25.3
25/1/1985,0.54,16.085,0.440000116,291.21,1253.33,0.11318825,7.164634146,25.52
26/1/1985,0,12.94,0.443999884,307.81,982.56,0.114984889,7.210365854,25.23
27/1/1985,0,10.515,0.443999884,388.56,621.58,0.11318825,7.301829268,25.18
28/1/1985,1.07,15.005,0.443999884,377.15,846.98,0.111391611,7.347560976,25.18
29/1/1985,0,15.1,0.443999884,337.25,1003.24,0.11318825,7.37804878,25.18
30/1/1985,0,14.55,0.443999884,372.9,844.8,0.11318825,7.37804878,25.29
31/1/1985,0,20.25,0.448,323.07,1349.45,0.111391611,7.408536585,25.65
1/2/1985,0,21.5,0.448,328.47,1415.11,0.106001695,7.469512195,25.59
2/2/1985,0,23.59,0.448,286.37,1707.6,0.100611778,7.515243902,25.44
3/2/1985,0,22.5,0.448,294.79,1513.15,0.100611778,7.56097561,25.41
4/2/1985,0,21.5,0.450650116,277.38,1525.04,0.100611778,7.606707317,26.33
5/2/1985,0,21.25,0.452,331.08,1250.96,0.100611778,7.667682927,26.33
6/2/1985,0,22.5,0.452,341.15,1293.96,0.098815139,7.698170732,26.03
7/2/1985,4.01,18.725,0.452,195.46,1547.33,0.106001695,7.759146341,25.79
8/2/1985,2,12.725,0.452,316.75,867.97,0.111391611,7.789634146,25.75
9/2/1985,0,12.095,0.455999884,350.39,762.27,0.11318825,7.835365854,25.73
10/2/1985,0,13.765,0.455999884,392.08,721.67,0.107798334,7.865853659,26.02
11/2/1985,1.07,16.25,0.455999884,362.95,917.21,0.100611778,7.926829268,25.69
